#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
incoloy_ma_956                                    ([no block])                                                                     = Incoloy-MA956
molten.kanthal                                    ([no block])                                                                     = Molten Kanthal
molten.nichrome                                   ([no block])                                                                     = Molten Nichrome
molten.niobium_titanium                           ([no block])                                                                     = Molten Niobium-Titanium
molten.black_bronze                               ([no block])                                                                     = Molten Black Bronze
molten.ruridit                                    ([no block])                                                                     = Molten Ruridit
molten.ultimet                                    ([no block])                                                                     = Molten Ultimet
molten.vanadium_gallium                           ([no block])                                                                     = Molten Vanadium-Gallium
molten.osmiridium                                 ([no block])                                                                     = Molten Osmiridium
molten.tungsten_carbide                           ([no block])                                                                     = Molten Tungstencarbide
molten.magnesium_diboride                         ([no block])                                                                     = Molten Magnesium Diboride
molten.uranium_triplatinum                        ([no block])                                                                     = Molten Uranium Triplatinum
molten.uranium_rhodium_dinaquadide                ([no block])                                                                     = Molten Uranium Rhodium Dinaquadide
molten.enriched_naquadah_trinium_europium_duranide([no block])                                                                     = Molten Enriched Naquadah Trinium Europium Duranide
molten.tungsten_steel                             ([no block])                                                                     = Molten Tungstensteel
molten.naquadah_alloy                             ([no block])                                                                     = Molten Naquadah Alloy
molten.rhodium_plated_palladium                   ([no block])                                                                     = Molten Rhodium Plated Palladium
molten.hssg                                       ([no block])                                                                     = Molten HSS-G
molten.hsse                                       ([no block])                                                                     = Molten HSS-E
molten.hsss                                       ([no block])                                                                     = Molten HSS-S
molten.stellite_100                               ([no block])                                                                     = Molten Stellite-100
molten.watertight_steel                           ([no block])                                                                     = Molten Watertight Steel
molten.maraging_steel_300                         ([no block])                                                                     = Molten Maraging Steel 300
molten.hastelloy_c_276                            ([no block])                                                                     = Molten Hastelloy-C276
molten.hastelloy_x                                ([no block])                                                                     = Molten Hastelloy-X
molten.trinaquadalloy                             ([no block])                                                                     = Molten Trinaquadalloy
molten.zeron_100                                  ([no block])                                                                     = Molten Zeron-100
molten.titanium_carbide                           ([no block])                                                                     = Molten Titanium Carbide
molten.tantalum_carbide                           ([no block])                                                                     = Molten Tantalum Carbide
molten.molybdenum_disilicide                      ([no block])                                                                     = Molten Molybdenum Disilicide
molten.titanium_tungsten_carbide                  ([no block])                                                                     = Molten Titanium Tungsten Carbide
molten.incoloy_ma_956                             ([no block])                                                                     = Molten Incoloy-MA956
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
xpjuice                                           ([no block])                                                                     = Liquid XP
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
